,Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,total_matches,total_runs,centuries,half_centuries,total_fours,total_sixes,total_dotballs,total_balls_faced,total_ducks,best_score,total_outs,total_overs_bowled,total_wickets,total_runs_given,highest_runs_given,total_orangecaps,total_purplecaps,total_player_of_series,batting_average,strike_rate
248,249,S Sriram,21-Feb-76,Left_Hand,Slow left-arm orthodox,India,2,31,0,0,3,0,18,38,0,27,2,3,0,49,25,0,0,0,15.5,81.57894736842105
249,250,B Sumanth,10-May-88,Right_Hand,Right-arm medium-fast,India,5,35,0,0,3,0,15,38,1,16,1,0,0,0,0,0,0,0,35.0,92.10526315789474
250,251,C Madan,15-Oct-82,Right_Hand,,India,1,15,0,0,3,0,15,21,0,15,1,0,0,0,0,0,0,0,15.0,71.42857142857143
251,252,AG Paunikar,18-Apr-88,Right_Hand,,India,5,49,0,0,9,0,41,61,1,20,5,0,0,0,0,0,0,0,9.8,80.32786885245902
252,253,MR Marsh,20-Oct-91,Right_Hand,Right-arm medium,Australia,20,225,0,0,9,14,84,201,6,38,7,54,16,402,55,0,0,0,32.142857142857146,111.94029850746269
253,254,AJ Finch,17-Nov-86,Right_Hand,Slow left-arm orthodox,Australia,52,1304,0,11,145,40,479,1080,6,88,41,8,0,66,29,0,0,0,31.804878048780488,120.74074074074075
254,255,STR Binny,3-Jun-84,Right_Hand,Right-arm medium,India,72,688,0,0,53,26,200,542,28,48,23,84,12,618,32,0,0,0,29.91304347826087,126.93726937269372
255,256,Harmeet Singh,7-Sep-92,Left_Hand,Slow left-arm orthodox,India,28,18,0,0,3,0,5,12,25,14,3,93,19,698,45,0,0,0,6.0,150.0
256,257,IR Jaggi,27-Jan-89,Right_Hand,Legbreak googly,India,5,43,0,0,3,0,32,60,0,25,2,0,0,0,0,0,0,0,21.5,71.66666666666667
257,258,DT Christian,4-May-83,Right_Hand,Right-arm fast-medium,Australia,23,341,0,0,17,13,99,299,2,39,11,79,11,611,49,0,0,0,31.0,114.04682274247492
258,259,RV Gomez,16-Oct-85,Right_Hand,Right-arm medium,India,13,50,0,0,5,1,27,53,7,26,5,16,5,128,28,0,0,0,10.0,94.33962264150944
259,260,MA Agarwal,16-Feb-91,Right_Hand,,India,49,788,0,3,79,33,306,663,6,68,28,0,0,0,0,0,0,0,28.142857142857142,118.85369532428356
260,261,AUK Pathan,17-Jun-84,Right_Hand,Right-arm medium,India,8,39,0,0,5,2,14,26,3,14,4,7,0,57,30,0,0,0,9.75,150.0
261,262,UBT Chand,26-Mar-93,Right_Hand,Right-arm offbreak,India,21,300,0,1,32,9,170,314,5,58,15,0,0,0,0,0,0,0,20.0,95.54140127388536
262,263,DJ Jacobs,4-Nov-82,Right_Hand,Right-arm medium,South Africa,7,92,0,0,10,4,62,101,1,32,6,0,0,0,0,0,0,0,15.333333333333334,91.08910891089108
263,264,Sunny Singh,18-Dec-86,Right_Hand,Right-arm medium-fast,India,6,43,0,0,6,1,12,31,1,20,4,0,0,0,0,0,0,0,10.75,138.70967741935485
264,265,NJ Rimmington,11-Nov-82,Right_Hand,Right-arm fast-medium,Australia,1,1,0,0,0,0,0,1,0,1,0,3,0,19,19,0,0,0,0.0,100.0
265,266,AL Menaria,29-Oct-90,Left_Hand,Slow left-arm orthodox,India,29,401,0,0,24,18,152,367,7,40,9,19,2,140,20,0,0,0,44.55555555555556,109.26430517711172
266,267,WD Parnell,30-Jul-89,Left_Hand,Left-arm medium-fast,South Africa,26,63,0,0,4,1,39,80,14,16,5,97,21,651,39,0,0,0,12.6,78.75
267,268,JJ van der Wath,10-Jan-78,Right_Hand,Right-arm medium-fast,South Africa,3,18,0,0,1,1,8,17,1,14,2,12,3,125,50,0,0,0,9.0,105.88235294117646
268,269,R Ninan,19-Nov-85,Right_Hand,Right-arm offbreak,India,2,3,0,0,0,0,3,6,1,3,1,6,3,65,34,0,0,0,3.0,50.0
